Date,Open,High,Low,Close,Adj Close,Volume,ticker
2021-11-05,160.0,160.0,155.5,157.0,157.0,156481,ANA.MC
2021-11-05,11.479999542236328,11.479999542236328,11.21500015258789,11.220000267028809,11.220000267028809,1257935,ACX.MC
2021-11-05,22.219999313354492,23.350000381469727,22.149999618530273,23.309999465942383,23.309999465942383,1094273,ACS.MC
2021-11-05,146.4499969482422,151.25,145.1999969482422,151.25,151.25,154575,AENA.MC
2021-11-05,12.920000076293945,12.920000076293945,12.369999885559082,12.390000343322754,12.390000343322754,257697,ALM.MC
2021-11-05,59.0,62.380001068115234,57.2599983215332,61.939998626708984,61.939998626708984,1293132,AMS.MC
2021-11-05,28.329999923706055,28.420000076293945,27.594999313354492,27.950000762939453,27.950000762939453,639523,MTS.MC
2021-11-05,3.2269999980926514,3.319000005722046,3.2149999141693115,3.2839999198913574,3.2839999198913574,84767612,SAN.MC
2021-11-05,0.6696000099182129,0.6800000071525574,0.6657999753952026,0.6733999848365784,0.6733999848365784,18160742,SAB.MC
2021-11-05,4.88100004196167,5.004000186920166,4.875999927520752,4.9670000076293945,4.9670000076293945,4509490,BKT.MC
2021-11-05,6.0279998779296875,6.10699987411499,5.997000217437744,6.026000022888184,6.026000022888184,17151928,BBVA.MC
2021-11-05,2.4600000381469727,2.5269999504089355,2.4600000381469727,2.50600004196167,2.50600004196167,10448148,CABK.MC
2021-11-05,53.619998931884766,53.63999938964844,52.720001220703125,52.720001220703125,52.720001220703125,655933,CLNX.MC
2021-11-05,24.280000686645508,24.6200008392334,24.200000762939453,24.6200008392334,24.6200008392334,190515,CIE.MC
2021-11-05,19.920000076293945,20.18000030517578,19.899999618530273,20.09000015258789,20.09000015258789,880141,ENG.MC
2021-11-05,20.0,20.200000762939453,19.885000228881836,20.0,20.0,1218005,ELE.MC
2021-11-05,27.059999465942383,27.59000015258789,26.889999389648438,27.399999618530273,27.399999618530273,2131224,FER.MC
2021-11-05,33.45000076293945,33.54999923706055,32.900001525878906,33.099998474121094,33.099998474121094,657551,FDR.MC
2021-11-05,18.700000762939453,18.850000381469727,18.15999984741211,18.5,18.5,1845287,GRF.MC
2021-11-05,1.9900000095367432,2.0999999046325684,1.902999997138977,2.0950000286102295,2.0950000286102295,40721539,IAG.MC
2021-11-05,10.199999809265137,10.329999923706055,10.164999961853027,10.274999618530273,10.274999618530273,10227490,IBE.MC
2021-11-05,32.11000061035156,32.34000015258789,31.760000228881836,32.27000045776367,32.27000045776367,12203314,ITX.MC
2021-11-05,10.670000076293945,10.899999618530273,10.640000343322754,10.779999732971191,10.779999732971191,1009845,IDR.MC
2021-11-05,8.5,8.699999809265137,8.345000267028809,8.675000190734863,8.675000190734863,646750,COL.MC
2021-11-05,1.9140000343322754,1.9524999856948853,1.8949999809265137,1.9429999589920044,1.9429999589920044,2830986,MAP.MC
2021-11-05,6.420000076293945,6.909999847412109,6.25,6.906000137329102,6.906000137329102,2154788,MEL.MC
2021-11-05,9.484000205993652,9.8100004196167,9.442000389099121,9.8100004196167,9.8100004196167,921289,MRL.MC
2021-11-05,23.280000686645508,23.559999465942383,23.190000534057617,23.3799991607666,23.3799991607666,388608,NTGY.MC
2021-11-05,61.0,62.7400016784668,60.5,60.70000076293945,60.70000076293945,98392,PHM.MC
2021-11-05,18.219999313354492,18.264999389648438,18.100000381469727,18.174999237060547,18.174999237060547,917104,REE.MC
2021-11-05,10.710000038146973,10.878000259399414,10.583999633789062,10.812000274658203,10.812000274658203,8242619,REP.MC
2021-11-05,19.375,19.395000457763672,18.34000015258789,18.78499984741211,18.78499984741211,2701775,SGRE.MC
2021-11-05,16.174999237060547,16.174999237060547,15.670000076293945,15.6899995803833,15.6899995803833,371092,SLR.MC
2021-11-05,3.6700000762939453,3.802999973297119,3.6480000019073486,3.7660000324249268,3.7660000324249268,21546158,TEF.MC
2021-11-05,59.79999923706055,59.95000076293945,59.150001525878906,59.599998474121094,59.599998474121094,50782,VIS.MC
